experiment_id,format,train_quality,test_quality,baseline_val_score,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,75,67.5850710429631,0.1333333333333333,0.8856410256410256,0.677281053172929,0.7779990044798407,0.6545442777947644,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,70,67.5850710429631,0.14,0.8864102564102564,0.6785983144393736,0.7790523690773067,0.6551872007335321,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,60,67.5850710429631,0.1433333333333333,0.8860256410256411,0.67738228079078,0.7781382580484153,0.652978706302319,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,50,67.5850710429631,0.1333333333333333,0.8843589743589744,0.6715080885723758,0.7739348370927318,0.642564183222668,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,40,67.5850710429631,0.13,0.8857692307692308,0.6745691110757699,0.7773056735816046,0.6560478536510199,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,30,67.5850710429631,0.13,0.8862820512820513,0.6783826130233912,0.7776385058912008,0.6515486159253362,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,20,67.5850710429631,0.1333333333333333,0.8832051282051282,0.6640467604408894,0.767186302070023,0.6328851409166422,24
resnet50_syntax_baseline_20260521_103955,jpeg,baseline,10,67.5850710429631,0.1266666666666666,0.8785897435897436,0.6254281079786517,0.7424530867555073,0.6255213254370092,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,100,67.5850710429631,0.1466666666666666,0.887948717948718,0.6807479523382631,0.7819361277445109,0.6556358659470242,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,95,67.5850710429631,0.14,0.8858974358974359,0.6753679691338109,0.7778332501248127,0.6503026687373098,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,90,67.5850710429631,0.1366666666666666,0.8871794871794871,0.6788927155137058,0.7805486284289277,0.6520262132327986,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,85,67.5850710429631,0.1366666666666666,0.8865384615384615,0.6777291942107198,0.7791365111055653,0.6506477031792401,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,80,67.5850710429631,0.13,0.8869230769230769,0.6770865513820143,0.7801595214356929,0.6513521738131918,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,75,67.5850710429631,0.13,0.8869230769230769,0.6768674809104903,0.7798302546180729,0.6512031306449558,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,70,67.5850710429631,0.1366666666666666,0.8867948717948718,0.6763203235957184,0.7793051737065734,0.6513557143197989,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,60,67.5850710429631,0.1366666666666666,0.8865384615384615,0.6761934219866554,0.7783621337340345,0.6521375112843276,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,50,67.5850710429631,0.13,0.8862820512820513,0.6763433828764193,0.778305423644089,0.6545425441079622,24
resnet50_syntax_baseline_20260521_103955,jpeg2000,baseline,40,67.5850710429631,0.1366666666666666,0.8875641025641026,0.6775779236565972,0.77937106918239,0.6523410084344384,24
